,AAGE,ACLSWKR,ADTIND,ADTOCC,AHGA,AGI,*(pred),AHRSPAY,AHSCOL,AMARITL,AMJIND,AMJOCC,ARACE,AREORGN,ASEX,AUNMEM,AUNTYPE,AWKSTAT,CAPGAIN,CAPLOSS,DIVVAL,FEDTAX,GRINGREG,GRINST,HHDFMX,HHDREL,MARSUPWT,MIGMTR1,MIGMTR3,MIGMTR4,MIGSAME,MIGSUN,NOEMP,PARENT,FATHER,MOTHER,SELF,PRCITSHP,SEOTR,VETQVA,VETYN,WKSWORK,YEAR,INCOME
52591,42, Private,29,31, High school graduate,,0,, Not in universe, Married-civilian spouse present, Transportation, Other service, White, All other, Male, No, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,541.06, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,1, Not in universe,2,52,95,0
142526,56, Not in universe,0,0, High school graduate,,0,, Not in universe, Separated, Not in universe or children, Not in universe, Black, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Nonfiler, Not in universe, Not in universe, Nonfamily householder, Householder,1060.97, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
112987,69, Not in universe,0,0, High school graduate,,0,, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,0, Joint both 65+, Not in universe, Not in universe, Householder, Householder,1639.85, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, ?, ?, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
27075,10, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, Asian or Pacific Islander, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,625.14, ?, ?, ?, Not in universe under 1 year old, ?,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
96695,34, Private,4,34, High school graduate,,0,, Not in universe, Never married, Construction, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Not in universe, Secondary individual, Nonrelative of householder,5438.96, ?, ?, ?, Not in universe under 1 year old, ?,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,13,95,0
175940,58, Self-employed-incorporated,33,16, Masters degree(MA MS MEng MEd MSW MBA),,0,, Not in universe, Married-civilian spouse present, Retail trade, Sales, Asian or Pacific Islander, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,1235.4, ?, ?, ?, Not in universe under 1 year old, ?,2, Not in universe, South Korea, South Korea, South Korea, Foreign born- U S citizen by naturalization,2, Not in universe,2,52,95,0
124723,27, Not in universe,0,0, Some college but no degree,,0,, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,2143.32, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
20202,38, Federal government,49,3, Associates degree-academic program,,0,, Not in universe, Married-civilian spouse present, Public administration, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,5, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1679.19, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
25633,25, Private,22,4, High school graduate,,0,, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Professional specialty, White, All other, Female, Not in universe, Not in universe, PT for non-econ reasons usually FT,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1749.03, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
116419,5, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, White, Mexican-American, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Other Rel <18 never marr not in subfamily, Other relative of householder,884.25, ?, ?, ?, Not in universe under 1 year old, ?,0, Neither parent present, Mexico, Mexico, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
3522,28, Local government,43,10, Bachelors degree(BA AB BS),,1607,, Not in universe, Married-civilian spouse present, Education, Professional specialty, White, All other, Male, No, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,2415.44, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, ?, England, ?, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,95,0
11232,, Private,33,16, High school graduate,,0,, Not in universe, Married-civilian spouse present, Retail trade, Sales, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,3735.19, ?, ?, ?, Not in universe under 1 year old, ?,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
87308,3, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1868.05, ?, ?, ?, Not in universe under 1 year old, ?,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
3563,8, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, Other, Mexican (Mexicano), Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1028.93, ?, ?, ?, Not in universe under 1 year old, ?,0, Both parents present, Mexico, Mexico, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
160509,3, Not in universe,0,0, Children,,0,, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,2524.84, ?, ?, ?, Not in universe under 1 year old, ?,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
46018,15, Private,33,29, 7th and 8th grade,,0,, Not in universe, Never married, Retail trade, Other service, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Single, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,513.76, ?, ?, ?, Not in universe under 1 year old, ?,2, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,13,95,0
72912,81, Not in universe,0,0, High school graduate,,0,, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,0, Joint both 65+, Not in universe, Not in universe, Householder, Householder,3745.24, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, Germany, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
27426,19, Private,33,29, High school graduate,,0,, Not in universe, Never married, Retail trade, Other service, White, All other, Male, Not in universe, Not in universe, Unemployed full-time,0,0,0, Single, Not in universe, Not in universe, Child 18+ never marr Not in a subfamily, Child 18 or older,3516.99, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
